first_name,last_name,firm_name,title,email,phone,website,domain,city,state,country,niche,source,profile_url,registration_number,license_valid_from,license_valid_to,specializations,address
,,SKY LINES MANPOWER SOLUTION INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://skylines.workabroad.ph/profile/agency/6549/skylines,DMW-025-LB-03072023-R,"Feb 10, 2023","Nov 07, 2026",,
,,SL SEARCH CORPORATION,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://slsearch.workabroad.ph/profile/agency/55/slsearch,DMW-248-LB-01292024-R,"Jan 30, 2024","Jan 29, 2030",,
,,SPEED DEPLOYMENT MANPOWER RESOURCES,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://speed.workabroad.ph/profile/agency/7007/speed,POEA-181-LB-120122-R,"Dec 06, 2022","Dec 05, 2026",,
,,SPEED DEPLOYMENT MANPOWER RESOURCES CORPORATION,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/7436/speed-deployment-manpower-resources-corporation,POEA-181-LB-120122-R,"Dec 06, 2022","Dec 05, 2026",,
,,STAFF SEEKERS INT`L MANPOWER CORPORATION,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://staffseekers.workabroad.ph/profile/agency/6813/staffseekers,003-lb-011816-pl,"Feb 20, 2024","Feb 12, 2030",,
,,STAFFHOUSE INTERNATIONAL RESOURCES,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://staffhouse.workabroad.ph/profile/agency/680/staffhouse,DMW-131-LB-07132023-R,"Jul 27, 2023","Jul 12, 2029",,
,,STAR WORLD INTERNATIONAL MANPOWER AND PLACEMENT AGENCY,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://starworld.workabroad.ph/profile/agency/1024/starworld,DMW-238-LB-01052024-R,"Dec 13, 2023","Dec 12, 2029",,
,,STARBORNE INTERNATIONAL PROMOTIONS AND MANPOWER CORPORATION,,,,,,Manila,,PH,Recruitment Agency,ph-workabroad,https://starborne.workabroad.ph/profile/agency/2970/starborne,POEA-028-LB-031621-R,"Sep 18, 2020","Sep 17, 2024",,
,,STB-DJL HUMAN LINK INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://stbdjl.workabroad.ph/profile/agency/549/stbdjl,DMW-280-LB-02232024-R,"Mar 22, 2024","Feb 24, 2030",,
,,STELLAR ACES OVERSEAS INT'L INC,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://stellaraces.workabroad.ph/profile/agency/5224/stellaraces,DMW-098-LB-05292023-R,"Apr 08, 2023","Apr 07, 2027",,
,,STRATEGIC INTERNATIONAL MANPOWER SERVICES,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://strategic.workabroad.ph/profile/agency/200/strategic,POEA-065-LB-070110-R,"Oct 03, 2022","Jul 31, 2026",,
,,STUDIO 85 PROMOTIONS INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/6617/studio-85-promotions-inc,DMW-605-LB-04112025-R,"Mar 31, 2025","Mar 30, 2031",,
,,SUN HIKKARI MANPOWER SERVICES CORP,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://sunhikkari.workabroad.ph/profile/agency/7001/sunhikkari,POEA-027-LB-031021-R,"Oct 13, 2020","Oct 12, 2030",,
,,SUNRISE SEARCH & SUPPORT INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://sunrise.workabroad.ph/profile/agency/6355/sunrise,POEA-056-LB-070422-R,"Jul 14, 2022","Jun 19, 2026",,
,,"SUNWAY INTERNATIONAL MANPOWER SERVICES, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://sunway.workabroad.ph/profile/agency/1419/sunway,POEA-092-LB-061615-R,"Jun 04, 2019","Jul 20, 2027",,
,,SUPERIOR ALLIANCE HUMAN RESOURCES CO.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://superioralliance.workabroad.ph/profile/agency/7044/superioralliance,POEA-033-LB-032621-R,"Apr 23, 2025","Apr 09, 2031",,
,,SUPERRED MANPOWER SERVICES,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/7334/superred-manpower-services,POEA-013-LB-030922-R,"Jun 22, 2022","Mar 22, 2026",,
,,"SUPPLY OILFIELD SERVICES,INC",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://supplyoilfield.workabroad.ph/profile/agency/3636/supplyoilfield,DMW-388-LB-07012024-R,"Sep 16, 2023","Sep 15, 2029",,
,,T.S. PIZARRO MANPOWER SERVICES AND CONSTRUCTION INCORPORATED,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://tspizarro.workabroad.ph/profile/agency/1043/tspizarro,DMW-347-LB-07222024-R,"Mar 08, 2024","Mar 07, 2030",,
,,TAI-FIL MANPOWER SERVICES CORP,,,09171557381091715,,,,,PH,Recruitment Agency,ph-workabroad,https://taifil.workabroad.ph/profile/agency/1401/taifil,DMW-220-LB-11282023-R,"Jul 08, 2023","Jul 07, 2029",,
,,"TECHNOSERVE CO., INC. (FORMERLY TECHNOSERVE CONSTRUCTION CO., INC.)",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://technoserve.workabroad.ph/profile/agency/877/technoserve,POEA-106-LB-091222-R,"Aug 31, 2022","Aug 30, 2026",,
,,TECHSEARCH INTERNATIONAL CORPORATION,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://techsearch.workabroad.ph/profile/agency/5313/techsearch,POEA-088-LB-122921-R,"Nov 08, 2022","Dec 06, 2025",,
,,TEKSKIL MANPOWER AND CONSTRUCTION CORPORATION,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://tekskil.workabroad.ph/profile/agency/964/tekskil,POEA-016-LB-012319-R,"Sep 07, 2022","Aug 18, 2026",,
,,TEST ACCOUNT FOR WEB DEVELOPMENTS,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/6823/test-account-for-web-developments,123POEA-123456,"Jan 01, 2019","Jan 01, 2026",,
,,TITANIUM INTERNATIONAL MANPOWER CO,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/8152/titanium-international-manpower-co,DMW-013-LB-02052024-PL,"Feb 05, 2024","Feb 04, 2027",,
,,TOP HIGH GLOBAL RESOURCES INC,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://tophigh.workabroad.ph/profile/agency/7358/tophigh,POEA-050-LB-121917-PL,"Jun 23, 2023","Mar 15, 2026",,
,,TOP JOBY INTERNATIONAL MANPOWER AGENCY CO,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://topjoby.workabroad.ph/profile/agency/6539/topjoby,POEA-036-LB-022019-R,"Jul 27, 2023","Feb 18, 2027",,
,,TOTAL PERFORMANCE MANPOWER SUPPLY CORP.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/6665/total-performance-manpower-supply-corp,DMW-181-LB-09282023-R,"Oct 10, 2023","Oct 09, 2029",,
,,TRANS OVERSEAS MANPOWER SERVICES INC.,,,,,,Manila,,PH,Recruitment Agency,ph-workabroad,https://transoverseas.workabroad.ph/profile/agency/731/transoverseas,DMW-028-LB-03072023-R,"Feb 22, 2023","Feb 07, 2027",,
,,"TRANSNATIONAL SERVICES, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://transnationalservices.workabroad.ph/profile/agency/67/transnationalservices,POEA-035-LB-022120-R,"Apr 16, 2024","Mar 07, 2030",,
,,TREASURE OF HOPE INTERNATIONAL INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://treasureofhope.workabroad.ph/profile/agency/5896/treasureofhope,POEA-091-LB-042618-R,"Jun 08, 2018","Jun 07, 2026",,
,,UNIJOBS INTERNATIONAL MANPOWER SERVICES CORP.,,,,,,Quezon City,,PH,Recruitment Agency,ph-workabroad,https://unijobs.workabroad.ph/profile/agency/2734/unijobs,POEA-105-LB-111920-R,"Jul 10, 2020","Jul 09, 2030",,
,,UNIONSKILLS INTERNATIONAL INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://unionskills.workabroad.ph/profile/agency/7678/unionskills,POEA-019-LB-102622-UL,"Dec 10, 2024","Jan 13, 2031",,
,,UNIPLAN OVERSEAS EMPLOYMENT INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://uniplan.workabroad.ph/profile/agency/984/uniplan,POEA-217-LB-120619-R,"Jan 19, 2024","Jan 22, 2030",,
,,"UNITED GLOBAL MANPOWER RESOURCES, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://unitedglobal.workabroad.ph/profile/agency/500/unitedglobal,DMW-188-LB-10202023-R,"Nov 22, 2023","Nov 21, 2029",,
,,"UNIVERSAL STAFFING SERVICES, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://unistaff.workabroad.ph/profile/agency/217/unistaff,DMW-040-LB-03072023-R,"Mar 26, 2023","Mar 25, 2027",,
,,UNLIMITED SKILLS EMPLOYMENT AND MANPOWER SERVICES INC (FORMERLY ROWALD INTL),,,,,,,,PH,Recruitment Agency,ph-workabroad,https://unlimitedskillsemployment.workabroad.ph/profile/agency/864/unlimitedskillsemployment,POEA-167-LB-111122-R,"Sep 30, 2022","Sep 29, 2026",,
,,UZU REAL MANPOWER AGENCY INC,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/7527/uzu-real-manpower-agency-inc,POEA-013-LB-071019-PL,"Jan 20, 2025","Feb 25, 2025",,
,,VALESCO-SMS (STRATEGIC MANPOWER SOLUTIONS) INC,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://valesco.workabroad.ph/profile/agency/1167/valesco,DMW-013-LB051822-R,"Jul 05, 2022","Jul 04, 2026",,
,,VENTURE MANAGEMENT SYSTEMS INTERNATIONAL CORPORATION,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://venture.workabroad.ph/profile/agency/925/venture,DMW-335-LB-06032024-R,"Apr 21, 2024","Apr 20, 2030",,
,,VFG INTERNATIONAL PLACEMENT INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://vfgintl.workabroad.ph/profile/agency/6968/vfgintl,DMW-308-LB-03262024-R,"Jun 24, 2024","Jun 23, 2030",,
,,VICTORIA SERVICES INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://victoria.workabroad.ph/profile/agency/1365/victoria,POEA-027-LB-020516-R,,,,
,,"WISERECRUIT, CORP.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://wiserecruit.workabroad.ph/profile/agency/3744/wiserecruit,POEA-102-LB-090822-R,"Jul 16, 2025","Oct 21, 2025",,
,,"WIZARD INTERNATIONAL MANPOWER SERVICES, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/8164/wizard-international-manpower-services-inc,DMW-023-LB-09162024-PL,"Sep 16, 2024","Sep 15, 2027",,
,,WORK ASIA INTERNATIONAL RECRUITMENT AGENCY INC.,,,,,,Makati,,PH,Recruitment Agency,ph-workabroad,https://workasia.workabroad.ph/profile/agency/6636/workasia,POEA-013-LB-042015-PLe,"Oct 11, 2022","May 09, 2026",,
,,WORKABROAD ADMIN,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/121/workabroad-admin,xxxxxx,"May 05, 2015","Mar 01, 2028",,
,,WORKFORCE INTERNATIONAL INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://workforce.workabroad.ph/profile/agency/6306/workforce,POEA-153-LB-090720-R,"Aug 11, 2024","Aug 10, 2030",,
,,WORLDSTAR INTERNATIONAL MANPOWER,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://worldstar.workabroad.ph/profile/agency/6561/worldstar,POEA-160-LB-102822-R,"Apr 09, 2022","Apr 08, 2026",,
,,"Y HMD INTERNATIONAL MANPOWER SERVICES, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/612/y-hmd-international-manpower-services-inc,POEA-209-LB-122222-R,"Dec 18, 2022","Dec 17, 2026",,
,,"YARRA INTERNATIONAL RECRUITMENT CO., INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://yarra.workabroad.ph/profile/agency/3639/yarra,DMW-240-LB-01092024,,,,
,,YOSHI PROMOTIONS INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/4917/yoshi-promotions-inc,DMW-197-LB-11082023-R,"Nov 19, 2023","Nov 18, 2029",,
,,YWA HUMAN RESOURCE CORPORATION (FORMERLY YANGWHA),,,,,,,,PH,Recruitment Agency,ph-workabroad,https://ywacorp.workabroad.ph/profile/agency/2199/ywacorp,POEA 224-LB-102618-R,"Dec 07, 2022","Nov 11, 2026",,
,,ZONTAR MANPOWER SERVICES INC,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/1535/zontar-manpower-services-inc,POEA-153-LB-102422-R,"Sep 27, 2022","Sep 26, 2026",,
